keys,en,ko
CHART,Chart,채보
PLAY,Play,플레이
PLAY_COUNT,Play Count,플레이 횟수
LOADING,Loading...,불러오는 중
DONE,Done,완료
EDITOR_HELP1,none,스크롤 휠로 노래를 탐색 합니다.
EDITOR_HELP2,none,R키로 현재 위치에 새 레일을 배치합니다.
EDITOR_HELP3,none,클릭으로 레일을 선택합니다.
EDITOR_HELP4,none,레일을 선택 후 Ctrl + 클릭으로 해당 지점에 레일의 경유점을 생성합니다.
EDITOR_HELP5,none,경유점은 Shift + 클릭으로 선택하거나, Shift + 드래그로 위치를 옮길 수 있습니다.
EDITOR_HELP7,none,Alt + 마우스 휠로 선택된 경유점부터 다음 경유점까지의 휘어짐 정도를 조정 할 수 있습니다.
EDITOR_HELP8,none,선택된 레일은 방향키로 위치를 상하좌우로 옮길 수 있습니다.
EDITOR_HELP9,none,Z키로 일반 노트를 배치합니다.
EDITOR_HELP10,none,X키르 트레이스 노트를 배치합니다.
EDITOR_HELP11,none,A,D키로 이동 노트를 배치합니다.
EDITOR_HELP12,none,C키로 장애물 노트를 배치합니다.
EDITOR_HELP13,none,노트를 클릭해서 선택 할 수 있습니다.
